benchmark,norm,full,X,L0,L1,L+,H0,H1,H+
C432.iscas.var84,38,20,23,3,8,0,0,0,0
C432.iscas.var133,128,60,71,3,24,8,1,0,0
C432.iscas.var163,385,188,191,11,25,93,4,0,7
C432.iscas.var188,397,190,191,20,119,19,2,0,1
C432.iscas.var193,544,277,257,91,28,98,0,0,8
C432.iscas.var194,660,333,325,67,28,151,0,0,13
C432.iscas.var195,742,370,374,51,29,184,0,0,13
C499.iscas.var211,5295,4546,0,513,509,3182,4,0,778
C499.iscas.var212,5551,4746,0,641,637,3188,4,0,776
C499.iscas.var213,5807,4930,0,641,637,3322,4,0,894
C499.iscas.var214,6063,5134,0,641,637,3543,4,0,965
C499.iscas.var215,6319,5442,0,641,637,3774,4,0,1082
C499.iscas.var216,6575,5534,0,641,637,3903,4,0,1141
C499.iscas.var217,6831,5718,0,641,637,3998,4,0,1190
C499.iscas.var218,7087,5977,0,641,637,4260,4,0,1277
C499.iscas.var219,7343,6316,0,641,637,4557,4,0,1198
C499.iscas.var220,7599,6438,0,641,637,4625,4,0,1442
C499.iscas.var221,7855,6713,0,641,637,4886,4,0,1334
C499.iscas.var222,8111,7014,0,641,637,5095,4,0,1500
C499.iscas.var223,8367,7114,0,641,637,5197,4,0,1458
C499.iscas.var224,8367,7228,0,641,637,5313,4,0,1395
C499.iscas.var225,8751,7408,0,641,637,5405,4,0,1577
C499.iscas.var226,8751,7632,0,641,637,5623,4,0,1411
C499.iscas.var227,8943,7811,0,641,637,5806,4,0,1448
C499.iscas.var228,9007,8158,0,641,637,6142,4,0,1396
C499.iscas.var229,9071,8028,0,641,637,5993,4,0,1430
C499.iscas.var230,9135,8261,0,641,637,6311,4,0,1357
C499.iscas.var231,9199,8273,0,641,637,6145,4,0,1460
C499.iscas.var232,9263,8339,0,641,637,6347,4,0,1433
C499.iscas.var233,9327,8352,0,641,637,6281,4,0,1405
C499.iscas.var234,9327,8434,0,641,637,6437,4,0,1388
C499.iscas.var235,9423,8457,0,641,637,6304,4,0,1505
C499.iscas.var236,9455,8573,0,641,637,6554,4,0,1394
C499.iscas.var237,9487,8491,0,641,637,6329,4,0,1501
C499.iscas.var238,9487,8623,0,641,637,6587,4,0,1376
C499.iscas.var239,9423,8425,0,641,637,6264,4,0,1530
C499.iscas.var240,9455,8540,0,641,637,6488,4,0,1411
C499.iscas.var241,9487,8477,0,641,637,6301,4,0,1525
C499.iscas.var242,9487,8508,0,641,637,6372,4,0,1512
C880.iscas.var404,412,263,297,14,40,16,3,0,1
C880.iscas.var422,856,522,618,20,93,37,2,0,14
C880.iscas.var423,1835,1214,1488,15,114,68,2,0,34
C880.iscas.var424,4911,3243,4274,40,134,230,2,0,147
C880.iscas.var426,14115,9104,4120,4225,255,1362,0,0,546
C880.iscas.var433,24992,16720,17554,64,223,3758,2,0,1482
C880.iscas.var440,14131,9163,11375,60,74,1009,2,0,520
C880.iscas.var441,20248,13492,16372,124,398,1296,2,0,545
C880.iscas.var442,12550,7693,3674,25,45,4596,2,0,1784
C1355.iscas.var555,8367,7114,0,641,637,5197,4,0,1458
C1355.iscas.var556,7343,6316,0,641,637,4557,4,0,1198
C1355.iscas.var557,6319,5442,0,641,637,3774,4,0,1082
C1355.iscas.var558,5295,4546,0,513,509,3182,4,0,778
C1355.iscas.var559,8367,7228,0,641,637,5313,4,0,1395
C1355.iscas.var560,7599,6438,0,641,637,4625,4,0,1442
C1355.iscas.var561,6575,5534,0,641,637,3903,4,0,1141
C1355.iscas.var562,5551,4746,0,641,637,3188,4,0,776
C1355.iscas.var563,8751,7408,0,641,637,5405,4,0,1577
C1355.iscas.var564,7855,6713,0,641,637,4886,4,0,1334
C1355.iscas.var565,6831,5718,0,641,637,3998,4,0,1190
C1355.iscas.var566,5807,4930,0,641,637,3322,4,0,894
C1355.iscas.var567,8751,7632,0,641,637,5623,4,0,1411
C1355.iscas.var568,8111,7014,0,641,637,5095,4,0,1500
C1355.iscas.var569,7087,5977,0,641,637,4260,4,0,1277
C1355.iscas.var570,6063,5134,0,641,637,3543,4,0,965
C1355.iscas.var571,9423,8425,0,641,637,6264,4,0,1530
C1355.iscas.var572,9423,8457,0,641,637,6304,4,0,1505
C1355.iscas.var573,9199,8273,0,641,637,6145,4,0,1460
C1355.iscas.var574,8943,7811,0,641,637,5806,4,0,1448
C1355.iscas.var575,9455,8540,0,641,637,6488,4,0,1411
C1355.iscas.var576,9455,8573,0,641,637,6554,4,0,1394
C1355.iscas.var577,9263,8339,0,641,637,6347,4,0,1433
C1355.iscas.var578,9007,8158,0,641,637,6142,4,0,1396
C1355.iscas.var579,9487,8477,0,641,637,6301,4,0,1525
C1355.iscas.var580,9487,8491,0,641,637,6329,4,0,1501
C1355.iscas.var581,9327,8352,0,641,637,6281,4,0,1405
C1355.iscas.var582,9071,8028,0,641,637,5993,4,0,1430
C1355.iscas.var583,9487,8508,0,641,637,6372,4,0,1512
C1355.iscas.var584,9487,8623,0,641,637,6587,4,0,1376
C1355.iscas.var585,9327,8434,0,641,637,6437,4,0,1388
C1355.iscas.var586,9135,8261,0,641,637,6311,4,0,1357
C1908.iscas.var850,3333,2416,175,729,724,1086,1,0,322
C1908.iscas.var851,3269,2300,171,681,676,1097,1,0,276
C1908.iscas.var852,3301,2437,239,649,644,1192,1,0,324
C1908.iscas.var853,3365,2419,239,648,643,1166,1,0,362
C1908.iscas.var854,3301,2423,235,618,613,1216,1,0,315
C1908.iscas.var855,3301,2410,239,617,612,1198,1,0,348
C1908.iscas.var856,3685,2756,171,730,725,1346,1,0,404
C1908.iscas.var857,3717,2793,209,679,674,1417,1,0,390
C1908.iscas.var858,3623,2707,173,633,628,1419,1,0,305
C1908.iscas.var859,3783,2872,205,685,680,1469,1,0,386
C1908.iscas.var860,3687,2782,173,639,634,1452,1,0,295
C1908.iscas.var861,3687,2766,173,638,633,1470,1,0,309
C1908.iscas.var862,3783,2829,171,727,722,1389,1,0,450
C1908.iscas.var863,3687,2714,171,681,676,1442,1,0,351
C1908.iscas.var864,3687,2708,171,683,678,1409,1,0,364
C1908.iscas.var865,3623,2629,171,682,677,1339,1,0,364
C1908.iscas.var866,5029,3651,303,3,9,3129,0,0,817
C1908.iscas.var899,182,117,45,28,1,36,5,0,16
C1908.iscas.var900,224,142,60,40,1,41,5,0,17
C1908.iscas.var901,138,84,58,34,1,12,5,0,6
C1908.iscas.var908,5877,4312,553,12,275,3368,3,0,909
C1908.iscas.var909,9123,6208,1061,11,716,4193,3,0,1122
C1908.iscas.var912,186,123,60,39,1,34,5,0,8
