benchmark,norm,full,X,L0,L1,L+,H0,H1,H+
uf20-01,51,30,2,37,0,3,0,0,0
uf20-02,57,36,2,41,0,3,2,0,0
uf20-03,22,8,0,11,0,0,0,0,0
uf20-04,25,17,0,19,0,1,1,0,0
uf20-05,21,14,0,18,0,0,0,0,0
uf20-06,20,11,0,14,0,0,0,0,0
uf20-07,60,39,3,47,0,1,0,0,0
uf20-08,37,27,1,33,1,0,1,0,0
uf20-09,22,10,0,13,0,0,1,0,0
uf20-010,61,29,0,32,0,1,0,0,0
uf20-011,75,46,5,58,0,2,0,0,0
uf20-012,110,72,3,82,0,8,0,0,0
uf20-013,35,25,0,29,1,0,0,0,0
uf20-014,33,20,0,21,0,1,3,0,1
uf20-015,62,36,1,43,0,3,1,0,1
uf20-016,45,20,0,30,1,0,1,0,0
uf20-017,43,19,0,29,0,0,0,0,0
uf20-018,22,9,0,12,0,0,0,0,0
uf20-019,21,12,0,12,0,0,0,0,0
uf20-020,50,31,0,41,0,1,1,0,0
uf20-021,35,17,0,22,0,0,1,0,0
uf20-022,38,25,2,30,0,0,1,0,0
uf20-023,58,38,0,46,0,1,1,0,0
uf20-024,40,18,0,25,0,0,0,0,0
uf20-025,22,7,0,9,0,0,0,0,0
uf20-026,21,13,0,16,0,0,0,0,0
uf20-027,43,25,1,29,0,0,0,0,0
uf20-028,24,16,1,20,0,0,0,0,0
uf20-029,22,19,0,19,0,0,0,0,0
uf20-030,70,40,0,59,0,0,0,0,0
uf20-031,22,12,0,14,0,0,1,0,0
uf20-032,22,14,0,18,0,0,0,0,0
uf20-033,27,22,1,20,0,1,3,0,0
uf20-034,89,49,1,64,0,4,0,0,0
uf20-035,37,24,0,29,0,0,0,0,0
uf20-036,47,22,0,32,1,1,1,0,0
uf20-037,22,12,0,16,0,0,0,0,0
uf20-038,96,63,4,74,0,3,3,0,1
uf20-039,32,17,0,22,0,0,0,0,0
uf20-040,25,14,0,16,0,1,1,0,0
uf20-041,22,10,0,12,0,0,0,0,0
uf20-042,20,12,0,14,0,0,0,0,0
uf20-043,21,10,1,15,0,0,0,0,0
uf20-044,30,20,3,24,0,0,0,0,0
uf20-045,49,28,0,38,0,0,0,0,0
uf20-046,109,64,1,81,0,2,0,0,0
uf20-047,19,11,0,15,0,0,1,0,0
uf20-048,22,12,0,14,0,0,0,0,0
uf20-049,21,15,0,16,0,0,1,0,0
uf20-050,22,13,0,16,0,0,0,0,0
uf20-051,31,18,0,21,0,0,0,0,0
uf20-052,45,27,0,36,0,0,0,0,0
uf20-053,21,14,0,17,0,0,1,0,0
uf20-054,33,23,1,25,0,2,0,0,0
uf20-055,47,31,2,36,0,1,0,0,0
uf20-056,62,35,0,46,0,1,3,0,0
uf20-057,56,28,1,35,0,3,0,0,0
uf20-058,44,25,3,32,0,1,0,0,0
uf20-059,22,14,0,16,0,0,0,0,0
uf20-060,29,14,1,16,0,0,0,0,0
uf20-061,22,12,0,18,0,0,0,0,0
uf20-062,72,50,4,55,1,6,1,0,0
uf20-063,64,31,0,38,0,1,0,0,0
uf20-064,44,23,0,29,0,0,0,0,0
uf20-065,29,20,0,24,0,1,0,0,0
uf20-066,56,24,0,36,0,3,0,0,0
uf20-067,93,52,0,69,0,1,0,0,0
uf20-068,37,22,2,31,0,0,0,0,0
uf20-069,21,13,0,16,0,0,0,0,0
uf20-070,97,56,0,66,0,7,3,0,0
uf20-071,67,45,1,58,0,2,0,0,0
uf20-072,23,17,1,19,0,1,0,0,0
uf20-073,21,11,0,13,0,0,0,0,0
uf20-074,22,15,0,18,0,0,0,0,0
uf20-075,45,28,1,36,0,3,0,0,0
uf20-076,22,13,0,17,0,0,0,0,0
uf20-077,40,23,1,28,1,1,0,0,0
uf20-078,24,13,1,19,0,0,0,0,0
uf20-079,141,79,6,98,1,7,1,0,0
uf20-080,61,31,1,38,0,3,0,0,1
uf20-081,21,12,1,14,0,0,1,0,0
uf20-082,50,28,0,34,0,2,0,0,0
uf20-083,48,32,0,41,0,0,0,0,0
uf20-084,19,12,0,14,0,0,0,0,0
uf20-085,21,10,0,14,0,0,0,0,0
uf20-086,58,34,0,44,0,0,1,0,0
uf20-087,52,31,2,40,0,0,0,0,0
uf20-088,80,44,1,54,1,4,1,0,0
uf20-089,30,23,5,25,0,0,0,0,0
uf20-090,71,37,0,47,1,1,2,0,0
uf20-091,22,15,0,17,0,0,0,0,0
uf20-092,20,11,0,14,0,0,1,0,0
uf20-093,39,25,0,29,0,0,0,0,0
uf20-094,21,12,0,17,0,0,1,0,0
uf20-095,37,14,0,18,0,0,0,0,0
uf20-096,22,13,0,17,0,0,1,0,0
uf20-097,37,26,1,30,0,1,1,0,0
uf20-098,35,18,0,24,0,1,0,0,0
uf20-099,55,39,0,45,0,0,1,0,0
uf20-0100,49,19,0,26,0,1,0,0,0
uf20-0101,22,14,0,18,0,0,0,0,0
uf20-0102,27,14,0,17,0,0,0,0,0
