benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-077/uf20-077-c1.dd;5;11;6;11;6;6;6;5;5;0.13730359077453613
../data/dimacs_analysis/uf20-077/uf20-077-c2.dd;12;31;14;30;14;14;14;13;13;0.8263516426086426
../data/dimacs_analysis/uf20-077/uf20-077-c3.dd;20;45;25;44;25;25;25;21;18;1.8055222034454346
../data/dimacs_analysis/uf20-077/uf20-077-c4.dd;25;56;30;53;30;30;29;29;26;2.089501142501831
../data/dimacs_analysis/uf20-077/uf20-077-c5.dd;30;65;35;57;35;35;34;32;29;2.315093755722046
../data/dimacs_analysis/uf20-077/uf20-077-c6.dd;45;82;51;73;51;48;47;44;40;2.977240562438965
../data/dimacs_analysis/uf20-077/uf20-077-c7.dd;94;149;100;132;100;95;91;91;84;5.774143934249878
../data/dimacs_analysis/uf20-077/uf20-077-c8.dd;164;258;178;237;178;168;169;163;147;12.282235383987427
../data/dimacs_analysis/uf20-077/uf20-077-c9.dd;268;370;268;349;268;248;257;253;221;20.130377769470215
../data/dimacs_analysis/uf20-077/uf20-077-c10.dd;281;378;274;356;274;252;264;257;225;18.113368272781372
../data/dimacs_analysis/uf20-077/uf20-077-c11.dd;313;416;289;394;289;265;283;272;238;23.244375705718994
../data/dimacs_analysis/uf20-077/uf20-077-c12.dd;393;519;361;481;361;332;347;346;303;29.470828771591187
../data/dimacs_analysis/uf20-077/uf20-077-c13.dd;443;575;407;519;407;365;385;388;329;32.82639193534851
../data/dimacs_analysis/uf20-077/uf20-077-c14.dd;703;809;596;732;596;517;566;560;481;56.96834850311279
