benchmark       	| init	| norm	| bdd	| zdd	| esr	| full  |
C432.iscas.var195	| 100	| 134	| 100	| 133	| 98	| 77    |
C432.iscas.var194	| 100	| 134	| 100	| 133	| 98	| 79    |
C432.iscas.var193	| 101	| 141	| 101	| 140	| 99	| 85    |
C432.iscas.var188	| 120	| 164	| 120	| 160	| 119	| 103   |
C432.iscas.var163	| 100	| 141	| 100	| 138	| 100	| 77    | 23 %
C432.iscas.var133	| 75	| 128	| 75	| 126	| 75	| 68    |
C432.iscas.var84	| 20	| 38	| 20	| 37	| 20	| 20    |
C499.iscas.var234	| 112	| 113	| 112	| 111	| 110	| 102   |
C499.iscas.var215	| 112	| 113	| 112	| 111	| 110	| 102   |
C499.iscas.var214	| 127	| 129	| 127	| 126	| 124	| 116   |
C499.iscas.var213	| 119	| 121	| 119	| 118	| 116	| 108   |
C499.iscas.var212	| 115	| 117	| 115	| 114	| 112	| 104   |
C499.iscas.var211	| 113	| 115	| 113	| 112	| 111	| 103   |
C880.iscas.var422	| 100	| 166	| 100	| 164	| 101	| 97    |
C880.iscas.var404	| 100	| 165	| 100	| 163	| 101	| 98    |
C1355.iscas.var586	| 112	| 113	| 112	| 111	| 110	| 102   |
C1355.iscas.var570	| 127	| 129	| 127	| 126	| 124	| 116   |
C1355.iscas.var566	| 119	| 121	| 119	| 118	| 116	| 108   |
C1355.iscas.var562	| 115	| 117	| 115	| 114	| 112	| 104   |
C1355.iscas.var558	| 113	| 115	| 113	| 112	| 111	| 103   |
C1908.iscas.var912	| 131	| 162	| 131	| 159	| 130	| 108   | 16.9 %
C1908.iscas.var909	| 101	| 111	| 101	| 108	| 100	| 77    | 23 %
C1908.iscas.var908	| 100	| 110	| 100	| 109	| 98	| 75    | 23.4 %
C1908.iscas.var903	| 81	| 112	| 81	| 109	| 80	| 68    | 15 %
C1908.iscas.var902	| 97	| 134	| 97	| 131	| 96	| 87    |
C1908.iscas.var901	| 101	| 138	| 101	| 135	| 100	| 88    |
C1908.iscas.var900	| 159	| 202	| 159	| 199	| 158	| 132   | 16.4 %
C1908.iscas.var899	| 123	| 158	| 123	| 155	| 122	| 102   |
C1908.iscas.var866	| 109	| 114	| 109	| 114	| 108	| 78    | 27.8 %
C1908.iscas.var859	| 109	| 124	| 109	| 122	| 107	| 96    |
C1908.iscas.var858	| 116	| 127	| 116	| 125	| 114	| 97    |
C1908.iscas.var855	| 111	| 125	| 111	| 123	| 109	| 99    |
C1908.iscas.var854	| 111	| 125	| 111	| 123	| 109	| 99    |
C1908.iscas.var851	| 116	| 126	| 116	| 123	| 114	| 97    |
