name,esr,full
C432.iscas.var84,20,20
C432.iscas.var133,75,60
C432.iscas.var163,267,188
C432.iscas.var188,274,190
C432.iscas.var193,357,277
C432.iscas.var194,449,333
C432.iscas.var195,516,370
C499.iscas.var211,5036,4546
C499.iscas.var212,5292,4746
C499.iscas.var213,5548,4930
C499.iscas.var214,5804,5134
C499.iscas.var215,6060,5442
C499.iscas.var216,6316,5534
C499.iscas.var217,6572,5718
C499.iscas.var218,6828,5977
C499.iscas.var219,7084,6316
C499.iscas.var220,7340,6438
C499.iscas.var221,7596,6713
C499.iscas.var222,7852,7014
C499.iscas.var223,8108,7114
C499.iscas.var224,8108,7228
C499.iscas.var225,8492,7408
C499.iscas.var226,8492,7632
C499.iscas.var227,8684,7811
C499.iscas.var228,8748,8158
C499.iscas.var229,8812,8028
C499.iscas.var230,8876,8261
C499.iscas.var231,8940,8273
C499.iscas.var232,9004,8339
C499.iscas.var233,9068,8352
C499.iscas.var234,9068,8434
C499.iscas.var235,9164,8457
C499.iscas.var236,9196,8573
C499.iscas.var237,9228,8491
C499.iscas.var238,9228,8623
C499.iscas.var239,9164,8425
C499.iscas.var240,9196,8540
C499.iscas.var241,9228,8477
C499.iscas.var242,9228,8508
C880.iscas.var404,277,263
C880.iscas.var422,562,522
C880.iscas.var423,1282,1214
C880.iscas.var424,3564,3243
