benchmark name 	    | init	| norm	| bdd	| zdd	| esr	| abdd	| esr2	| abdde # abdde - abdd with lport hport (not working)
C432.iscas.var195	| 100	| 134	| 100	| 133	| 98	| 99	| 98	| 98
C432.iscas.var194	| 100	| 134	| 100	| 133	| 98	| 99	| 98	| 98
C432.iscas.var193	| 101	| 141	| 101	| 140	| 99	| 100	| 99	| 99
C432.iscas.var188	| 120	| 164	| 120	| 160	| 119	| 118	| 119	| 119
C432.iscas.var163	| 100	| 141	| 100	| 138	| 99	| 98	| 100	| 100
C432.iscas.var133	| 75	| 128	| 75	| 126	| 75	| 74	| 75	| 75
C432.iscas.var84	| 20	| 38	| 20	| 37	| 20	| 18	| 20	| 20
--------------------------------------------------------------------------------
C499.iscas.var233	| 112	| 113	| 112	| 111	| 110	| 110	| 110	| 110
C499.iscas.var214	| 127	| 129	| 127	| 126	| 124	| 124	| 124	| 124
C499.iscas.var213	| 119	| 121	| 119	| 118	| 116	| 116	| 116	| 116
C499.iscas.var212	| 115	| 117	| 115	| 114	| 112	| 112	| 112	| 112
C499.iscas.var211	| 113	| 115	| 113	| 112	| 111	| 110	| 111	| 111
--------------------------------------------------------------------------------
C1355.iscas.var586	| 112	| 113	| 112	| 111	| 110	| 110	| 110	| 110
C1355.iscas.var570	| 127	| 129	| 127	| 126	| 124	| 124	| 124	| 124
C1355.iscas.var566	| 119	| 121	| 119	| 118	| 116	| 116	| 116	| 116
C1355.iscas.var562	| 115	| 117	| 115	| 114	| 112	| 112	| 112	| 112
C1355.iscas.var558	| 113	| 115	| 113	| 112	| 111	| 110	| 111	| 111
--------------------------------------------------------------------------------
C1908.iscas.var912	| 131	| 162	| 131	| 159	| 113	| 112	| 113	| 113
C1908.iscas.var909	| 101	| 111	| 101	| 108	| 90	| 100	| 100	| 100
C1908.iscas.var908	| 100	| 110	| 100	| 109	| 96	| 99	| 98	| 98
C1908.iscas.var903	| 81	| 112	| 81	| 109	| 80	| 78	| 80	| 80
C1908.iscas.var902	| 97	| 134	| 97	| 131	| 89	| 88	| 89	| 89
C1908.iscas.var901	| 101	| 138	| 101	| 135	| 100	| 98	| 100	| 100
C1908.iscas.var900	| 159	| 202	| 159	| 199	| 129	| 86	| 129	| 129
C1908.iscas.var899	| 123	| 158	| 123	| 155	| 99	| 67	| 99	| 99
C1908.iscas.var866	| 109	| 114	| 109	| 114	| 56	| 58	| 57	| 57
C1908.iscas.var865	| 116	| 127	| 116	| 125	| 114	| 114	| 114	| 114
C1908.iscas.var864	| 116	| 127	| 116	| 125	| 114	| 114	| 114	| 114
C1908.iscas.var863	| 116	| 127	| 116	| 125	| 114	| 114	| 114	| 114
C1908.iscas.var862	| 109	| 124	| 109	| 122	| 107	| 107	| 107	| 107
C1908.iscas.var861	| 116	| 127	| 116	| 125	| 114	| 114	| 114	| 114
C1908.iscas.var860	| 116	| 127	| 116	| 125	| 114	| 114	| 114	| 114
C1908.iscas.var859	| 109	| 124	| 109	| 122	| 107	| 107	| 107	| 107
C1908.iscas.var858	| 116	| 127	| 116	| 125	| 114	| 114	| 114	| 114
C1908.iscas.var857	| 109	| 123	| 109	| 121	| 107	| 107	| 107	| 107
C1908.iscas.var856	| 109	| 123	| 109	| 121	| 107	| 107	| 107	| 107
C1908.iscas.var855	| 111	| 125	| 111	| 123	| 109	| 109	| 109	| 109
C1908.iscas.var854	| 111	| 125	| 111	| 123	| 109	| 109	| 109	| 109
C1908.iscas.var853	| 109	| 123	| 109	| 121	| 107	| 107	| 107	| 107
C1908.iscas.var852	| 109	| 123	| 109	| 121	| 107	| 107	| 107	| 107
C1908.iscas.var851	| 116	| 126	| 116	| 123	| 114	| 114	| 114	| 114
C1908.iscas.var850	| 109	| 123	| 109	| 120	| 107	| 107	| 107	| 107
